TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,COLUMN_DEFAULT,IS_IDENTITY
dbo,Notifications,source_id,2,NO,int,NULL,10,0,NULL,0
dbo,Notifications,action_id,3,NO,int,NULL,10,0,NULL,0
dbo,Notifications,group_id,4,YES,int,NULL,10,0,NULL,0
dbo,Notifications,sender_user_id,5,YES,int,NULL,10,0,NULL,0
dbo,Notifications,sender_manager_id,6,YES,int,NULL,10,0,NULL,0
dbo,Notifications,title,7,NO,nvarchar,100,NULL,NULL,NULL,0
dbo,Notifications,message,8,YES,nvarchar,255,NULL,NULL,NULL,0
dbo,Notifications,created_at,9,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Pet,PetID,1,NO,int,NULL,10,0,NULL,1
dbo,Pet,UserID,2,NO,int,NULL,10,0,NULL,0
dbo,Pet,PetName,3,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,Pet,Level,4,NO,int,NULL,10,0,NULL,0
dbo,Pet,LevelUpTime,5,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Pet,Experience,6,NO,int,NULL,10,0,NULL,0
dbo,Pet,Hunger,7,NO,int,NULL,10,0,NULL,0
dbo,Pet,Mood,8,NO,int,NULL,10,0,NULL,0
dbo,Pet,Stamina,9,NO,int,NULL,10,0,NULL,0
dbo,Pet,Cleanliness,10,NO,int,NULL,10,0,NULL,0
dbo,Pet,Health,11,NO,int,NULL,10,0,NULL,0
dbo,Pet,SkinColor,12,NO,varchar,10,NULL,NULL,NULL,0
dbo,Pet,SkinColorChangedTime,13,NO,datetime2,NULL,NULL,NULL,NULL,0
dbo,Pet,BackgroundColor,14,NO,nvarchar,20,NULL,NULL,NULL,0
dbo,Pet,BackgroundColorChangedTime,15,NO,datetime2,NULL,NULL,NULL,NULL,0
dbo,Pet,PointsChanged_SkinColor,16,NO,int,NULL,10,0,NULL,0
dbo,Pet,PointsChanged_BackgroundColor,17,NO,int,NULL,10,0,NULL,0
dbo,Pet,PointsGained_LevelUp,18,NO,int,NULL,10,0,NULL,0
dbo,Pet,PointsGainedTime_LevelUp,19,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Pet,IsDeleted,20,NO,bit,NULL,NULL,NULL,((0)),0
dbo,Pet,DeletedAt,21,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,Pet,DeletedBy,22,YES,int,NULL,10,0,NULL,0
dbo,Pet,DeleteReason,23,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,Pet,CurrentExperience,24,NO,int,NULL,10,0,((0)),0
dbo,Pet,ExperienceToNextLevel,25,YES,int,NULL,10,0,NULL,0
dbo,Pet,TotalPointsGained_LevelUp,26,YES,int,NULL,10,0,((0)),0
dbo,PetBackgroundCostSettings,SettingId,1,NO,int,NULL,10,0,NULL,1
dbo,PetBackgroundCostSettings,BackgroundCode,2,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,PetBackgroundCostSettings,BackgroundName,3,NO,nvarchar,100,NULL,NULL,NULL,0
dbo,PetBackgroundCostSettings,PointsCost,4,NO,int,NULL,10,0,NULL,0
dbo,PetBackgroundCostSettings,Description,5,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,PetBackgroundCostSettings,PreviewImagePath,6,YES,nvarchar,200,NULL,NULL,NULL,0
dbo,PetBackgroundCostSettings,IsActive,7,NO,bit,NULL,NULL,NULL,((1)),0
dbo,PetBackgroundCostSettings,DisplayOrder,8,YES,int,NULL,10,0,((0)),0
dbo,PetBackgroundCostSettings,IsDeleted,9,NO,bit,NULL,NULL,NULL,((0)),0
dbo,PetBackgroundCostSettings,DeletedAt,10,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PetBackgroundCostSettings,DeletedBy,11,YES,int,NULL,10,0,NULL,0
dbo,PetBackgroundCostSettings,DeleteReason,12,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,PetBackgroundCostSettings,CreatedAt,13,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,PetBackgroundCostSettings,UpdatedAt,14,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PetBackgroundCostSettings,UpdatedBy,15,YES,int,NULL,10,0,NULL,0
dbo,PetBackgroundCostSettings,Rarity,16,YES,nvarchar,20,NULL,NULL,NULL,0
dbo,PetLevelRewardSettings,SettingId,1,NO,int,NULL,10,0,NULL,1
dbo,PetLevelRewardSettings,LevelRangeStart,2,NO,int,NULL,10,0,NULL,0
dbo,PetLevelRewardSettings,LevelRangeEnd,3,NO,int,NULL,10,0,NULL,0
dbo,PetLevelRewardSettings,PointsReward,4,NO,int,NULL,10,0,NULL,0
dbo,PetLevelRewardSettings,Description,5,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,PetLevelRewardSettings,IsActive,6,NO,bit,NULL,NULL,NULL,((1)),0
dbo,PetLevelRewardSettings,DisplayOrder,7,NO,int,NULL,10,0,((0)),0
dbo,PetLevelRewardSettings,IsDeleted,8,NO,bit,NULL,NULL,NULL,((0)),0
dbo,PetLevelRewardSettings,DeletedAt,9,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PetLevelRewardSettings,DeletedBy,10,YES,int,NULL,10,0,NULL,0
dbo,PetLevelRewardSettings,DeleteReason,11,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,PetLevelRewardSettings,CreatedAt,12,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,PetLevelRewardSettings,UpdatedAt,13,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PetLevelRewardSettings,UpdatedBy,14,YES,int,NULL,10,0,NULL,0
dbo,PetSkinColorCostSettings,SettingId,1,NO,int,NULL,10,0,NULL,1
dbo,PetSkinColorCostSettings,ColorCode,2,NO,varchar,10,NULL,NULL,NULL,0
dbo,PetSkinColorCostSettings,ColorName,3,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,PetSkinColorCostSettings,PointsCost,4,NO,int,NULL,10,0,((2000)),0
dbo,PetSkinColorCostSettings,Rarity,5,NO,nvarchar,20,NULL,NULL,(N'普通'),0
dbo,PetSkinColorCostSettings,Description,6,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,PetSkinColorCostSettings,PreviewImagePath,7,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,PetSkinColorCostSettings,ColorHex,8,YES,varchar,7,NULL,NULL,NULL,0
dbo,PetSkinColorCostSettings,IsActive,9,NO,bit,NULL,NULL,NULL,((1)),0
dbo,PetSkinColorCostSettings,DisplayOrder,10,NO,int,NULL,10,0,((0)),0
dbo,PetSkinColorCostSettings,IsFree,11,NO,bit,NULL,NULL,NULL,((0)),0
dbo,PetSkinColorCostSettings,IsLimitedEdition,12,NO,bit,NULL,NULL,NULL,((0)),0
dbo,PetSkinColorCostSettings,AvailableFrom,13,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PetSkinColorCostSettings,AvailableUntil,14,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PetSkinColorCostSettings,IsDeleted,15,NO,bit,NULL,NULL,NULL,((0)),0
dbo,PetSkinColorCostSettings,DeletedAt,16,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PetSkinColorCostSettings,DeletedBy,17,YES,int,NULL,10,0,NULL,0
dbo,PetSkinColorCostSettings,DeleteReason,18,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,PetSkinColorCostSettings,CreatedAt,19,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,PetSkinColorCostSettings,UpdatedAt,20,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PetSkinColorCostSettings,UpdatedBy,21,YES,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderInfo,p_order_id,1,NO,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderInfo,p_product_id,2,YES,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderInfo,seller_id,3,YES,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderInfo,buyer_id,4,YES,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderInfo,p_order_date,5,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PlayerMarketOrderInfo,p_order_status,6,YES,nvarchar,1,NULL,NULL,NULL,0
dbo,PlayerMarketOrderInfo,p_payment_status,7,YES,nvarchar,1,NULL,NULL,NULL,0
dbo,PlayerMarketOrderInfo,p_unit_price,8,YES,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderInfo,p_quantity,9,YES,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderInfo,p_order_total,10,YES,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderInfo,p_order_created_at,11,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PlayerMarketOrderInfo,p_order_updated_at,12,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PlayerMarketOrderTradepage,p_order_tradepage_id,1,NO,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderTradepage,p_order_id,2,YES,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderTradepage,p_product_id,3,YES,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderTradepage,p_order_platform_fee,4,YES,int,NULL,10,0,NULL,0
dbo,PlayerMarketOrderTradepage,seller_transferred_at,5,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,PlayerMarketOrderTradepage,buyer_received_at,6,YES,datetime2,NULL,NULL,NULL,NULL,0
